time,APCP_surface,DLWRF_surface,DSWRF_surface,PRES_surface,SPFH_2maboveground,TMP_2maboveground,UGRD_10maboveground,VGRD_10maboveground,precip_rate,PET_hargreaves
2015-12-16 15:00:00,0.0,291.3999938964844,376.1000061035156,99920.0,0.0071000000461936,287.3000183105469,-2.1000001430511475,-0.9000000357627869,0.0,0.1343155096170588
2015-12-16 16:00:00,0.0,291.3999938964844,468.6000061035156,99860.0,0.0069999997504055,289.8999938964844,-2.400000095367432,-0.4000000059604645,0.0,0.1673497676281006
2015-12-16 17:00:00,0.0,291.3999938964844,498.0,99760.0,0.0074999998323619,292.3999938964844,-2.700000047683716,0.2000000029802322,0.0,0.17784930258917647
2015-12-16 18:00:00,0.0,305.8999938964844,479.2000122070313,99750.0,0.0074000000022351,294.1000061035156,-3.1000001430511475,0.800000011920929,0.0,0.17113531721234013
2015-12-16 19:00:00,0.0,305.8999938964844,435.1000061035156,99630.0,0.0074999998323619,294.70001220703125,-2.900000095367432,0.9000000357627869,0.0,0.15538600932139898
2015-12-16 20:00:00,0.0,305.8999938964844,330.3999938964844,99630.0,0.0075999996624886,294.8999938964844,-2.700000047683716,1.100000023841858,0.0,0.11799479616457413
2015-12-16 21:00:00,0.0,300.8000183105469,142.60000610351562,99570.0,0.0075999996624886,294.3000183105469,-2.5,1.2000000476837158,0.0,0.05092632858378025
2015-12-16 22:00:00,0.0,300.8000183105469,23.899999618530277,99580.0,0.0076999999582767,291.8000183105469,-2.5,1.0,0.0,0.00853533787959276
2015-12-16 23:00:00,0.0,300.8000183105469,0.0,99650.0,0.007999999448657,287.6000061035156,-2.5,0.699999988079071,0.0,0.0
2015-12-17 00:00:00,0.0,301.70001220703125,0.0,99650.0,0.0082000000402331,286.8999938964844,-2.400000095367432,0.5,0.0,0.0
2015-12-17 01:00:00,0.0,301.70001220703125,0.0,99710.0,0.0083999997004866,286.20001220703125,-2.299999952316284,0.5,0.0,0.0
2015-12-17 02:00:00,0.0,301.70001220703125,0.0,99700.0,0.0082999998703598,286.20001220703125,-2.200000047683716,0.5,0.0,0.0
2015-12-17 03:00:00,0.0,330.8999938964844,0.0,99700.0,0.0082999998703598,285.8000183105469,-2.0,0.5,1.3896391148815432e-07,0.0
2015-12-17 04:00:00,0.5,330.8999938964844,0.0,99600.0,0.0082999998703598,285.8999938964844,-1.5,0.6000000238418579,3.3351746894324145e-07,0.0
2015-12-17 05:00:00,1.2000000476837158,330.8999938964844,0.0,99590.0,0.0087999999523162,286.5,-1.100000023841858,0.6000000238418579,5.836997487317421e-07,0.0
2015-12-17 06:00:00,2.1000001430511475,380.2000122070313,0.0,99570.0,0.0090999994426965,286.0,-0.6000000238418579,0.699999988079071,4.724888958755971e-07,0.0
2015-12-17 07:00:00,1.7000000476837158,380.2000122070313,0.0,99470.0,0.0094999996945261,286.3999938964844,-1.0,0.699999988079071,6.392818959287144e-07,0.0
2015-12-17 08:00:00,2.299999952316284,380.2000122070313,0.0,99450.0,0.0093000000342726,286.20001220703125,-1.399999976158142,0.699999988079071,0.0,0.0
2015-12-17 09:00:00,0.0,383.7000122070313,0.0,99450.0,0.0090999994426965,285.5,-1.899999976158142,0.699999988079071,0.0,0.0
2015-12-17 10:00:00,0.0,383.7000122070313,0.0,99340.0,0.0090999994426965,285.8000183105469,-2.1000001430511475,0.6000000238418579,0.0,0.0
2015-12-17 11:00:00,0.0,383.7000122070313,0.0,99250.0,0.0092000002041459,286.1000061035156,-2.400000095367432,0.6000000238418579,3.891133238298994e-07,0.0
2015-12-17 12:00:00,1.399999976158142,380.0,0.0,99260.0,0.0095999995246529,286.20001220703125,-2.700000047683716,0.5,6.670598234668289e-07,0.0
2015-12-17 13:00:00,2.400000095367432,380.0,42.60000228881836,99190.0,0.0094999996945261,286.5,-2.799999952316284,1.5,1.2229898929216684e-06,0.014881022796216383
2015-12-17 14:00:00,4.400000095367432,380.0,121.0,99210.0,0.0096999993547797,286.8999938964844,-2.900000095367432,2.400000095367432,2.223735305419731e-07,0.04226769158683366
2015-12-17 15:00:00,0.800000011920929,401.3000183105469,148.6999969482422,99230.0,0.0096999993547797,287.0,-3.0,3.400000095367432,1.3898532824665165e-06,0.05194384801629262
2015-12-17 16:00:00,5.0,401.3000183105469,185.5,99180.0,0.0096999993547797,287.0,-1.0,4.599999904632568,1.278664993359848e-06,0.06479881644097225
2015-12-17 17:00:00,4.599999904632568,401.3000183105469,197.40000915527344,99120.0,0.0098999999463558,286.6000061035156,0.9000000357627869,5.800000190734863,0.0,0.06895572484473751
2015-12-17 18:00:00,0.0,378.0,253.3000030517578,99050.0,0.0105999996885657,287.8000183105469,2.799999952316284,7.099999904632568,0.0,0.08848269758624566
2015-12-17 19:00:00,0.0,378.0,230.1999969482422,99000.0,0.0106999995186924,288.3000183105469,3.5,6.099999904632568,0.0,0.08041340887849877
2015-12-17 20:00:00,0.0,378.0,175.0,98970.0,0.0110999997705221,288.70001220703125,4.099999904632568,5.200000286102295,0.0,0.061130958906577604
